Site_ID,Year,Month,Data_Name_Primary,Data_Name_Secondary,Value
11,2007,11,Porites,astreoides,1
13,2007,11,Diploria,labyrinthiformis,6
13,2007,11,Porites,astreoides,3
15,2007,11,Diploria,labyrinthiformis,1
15,2007,11,Pseudodiploria,strigosa,1
24,2007,11,Diploria,labyrinthiformis,6
32,2007,11,Recruits,,5
32,2007,11,Montastraea,cavernosa,1
32,2007,11,Diploria,labyrinthiformis,18
32,2007,11,Pseudodiploria,strigosa,7
32,2007,11,Colpophyllia,natans,1
32,2007,11,Porites,astreoides,3
41,2007,11,Diploria,labyrinthiformis,2
41,2007,11,Pseudodiploria,strigosa,1
41,2007,11,Porites,astreoides,2
42,2007,11,Meandrina,meandrites,1
50,2007,11,Diploria,labyrinthiformis,2
51,2007,11,Diploria,labyrinthiformis,1
52,2007,11,Recruits,,1
52,2007,11,Diploria,labyrinthiformis,3
52,2007,11,Pseudodiploria,strigosa,3
37,2008,5,Diploria,labyrinthiformis,2
37,2008,5,Porites,astreoides,1
38,2008,5,Diploria,labyrinthiformis,1
38,2008,5,Porites,astreoides,1
39,2008,5,Diploria,labyrinthiformis,8
39,2008,5,Pseudodiploria,strigosa,3
39,2008,5,Agaricia,sp.,8
39,2008,5,Porites,astreoides,1
39,2008,5,Dichocoenia,stokesi,3
A,2008,5,Recruits,,4
A,2008,5,Diploria,labyrinthiformis,5
A,2008,5,Colpophyllia,natans,1
A,2008,5,Agaricia,sp.,6
A,2008,5,Porites,astreoides,3
A,2008,5,Favia,fragum,4
A,2008,5,Dichocoenia,stokesi,6
G,2008,5,Diploria,labyrinthiformis,2
G,2008,5,Porites,astreoides,1
K,2008,5,Diploria,labyrinthiformis,2
R,2008,5,Montastraea,cavernosa,1
R,2008,5,Agaricia,sp.,1
G,2008,11,Diploria,labyrinthiformis,1
G,2008,11,Porites,astreoides,1
I,2008,11,Diploria,labyrinthiformis,1
I,2008,11,Pseudodiploria,strigosa,2
1,2009,4,Diploria,labyrinthiformis,1
1,2009,4,Pseudodiploria,strigosa,1
1,2009,4,Porites,astreoides,1
4,2009,4,Pseudodiploria,strigosa,2
4,2009,4,Porites,astreoides,7
5,2009,4,Diploria,labyrinthiformis,2
5,2009,4,Porites,astreoides,2
5,2009,4,Favia,meandrites,1
6,2009,4,Montastraea,cavernosa,2
6,2009,4,Diploria,labyrinthiformis,1
6,2009,4,Pseudodiploria,strigosa,3
6,2009,4,Colpophyllia,natans,2
6,2009,4,Agaricia,sp.,5
6,2009,4,Porites,astreoides,3
9,2009,4,Porites,astreoides,1
32,2009,4,Recruits,,1
32,2009,4,Montastraea,cavernosa,2
32,2009,4,Diploria,labyrinthiformis,18
32,2009,4,Pseudodiploria,strigosa,8
32,2009,4,Agaricia,sp.,3
32,2009,4,Porites,astreoides,1
32,2009,4,Favia,fragum,2
37,2009,4,Pseudodiploria,strigosa,1
38,2009,4,Porites,astreoides,2
44,2009,4,Diploria,labyrinthiformis,1
45,2009,4,Diploria,labyrinthiformis,4
45,2009,4,Porites,astreoides,1
V,2009,4,Agaricia,sp.,4
V,2009,4,Porites,porites,1
V,2009,4,Meandrina,meandrites,1
1,2009,8,Pseudodiploria,strigosa,1
1,2009,8,Colpophyllia,natans,1
1,2009,8,Porites,astreoides,1
5,2009,8,Recruits,,2
5,2009,8,Diploria,labyrinthiformis,1
5,2009,8,Porites,astreoides,7
5,2009,8,Favia,fragum,1
6,2009,8,Recruits,,1
6,2009,8,Montastraea,annularis,3
6,2009,8,Montastraea,cavernosa,4
6,2009,8,Diploria,labyrinthiformis,2
6,2009,8,Pseudodiploria,strigosa,2
6,2009,8,Colpophyllia,natans,1
6,2009,8,Agaricia,sp.,3
6,2009,8,Porites,astreoides,7
9,2009,8,Madracis,mirabilis,1
37,2009,8,Diploria,labyrinthiformis,1
37,2009,8,Pseudodiploria,strigosa,2
37,2009,8,Agaricia,sp.,11
37,2009,8,Porites,astreoides,1
38,2009,8,Porites,astreoides,2
38,2009,8,Diploria,labyrinthiformis,1
41,2009,8,Diploria,labyrinthiformis,3
41,2009,8,Pseudodiploria,strigosa,1
41,2009,8,Agaricia,sp.,5
41,2009,8,Porites,astreoides,1
