Date_Full,Year,Month,Year (Month),Site_ID,Species_Richness_YesRecruits,Species_Richness_NoRecruits,Species_Sum_YesRecruits,Species_Sum_NoRecruits,Recruits (< 2.5cm),Acropora cervicornis,Montastraea annularis,Montastraea cavernosa,Diploria labyrinthiformis,Pseudodiploria strigosa,Colpophyllia natans,Dendrogyra cylindrus,Agaricia agaricites,Agaricia sp.,Porites porites,Porites astreoides,Meandrina meandrites,Favia fragum,Dichocoenia stokesi,Stephanocoenia intersepta,Madracis mirabilis,Madracis formosa,Solenastrea sp.,Siderastrea siderea/radians
2007.87,2007,11,2007 (11),9,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2007.87,2007,11,2007 (11),10,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2007.87,2007,11,2007 (11),11,1,1,1,1,,,,,,,,,,,,1,,,,,,,,
2007.87,2007,11,2007 (11),12,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2007.87,2007,11,2007 (11),13,2,2,9,9,,,,,6,,,,,,,3,,,,,,,,
2007.87,2007,11,2007 (11),14,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2007.87,2007,11,2007 (11),15,2,2,2,2,,,,,1,1,,,,,,,,,,,,,,
2007.87,2007,11,2007 (11),23,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2007.87,2007,11,2007 (11),24,1,1,6,6,,,,,6,,,,,,,,,,,,,,,
2007.87,2007,11,2007 (11),32,6,5,35,30,5,,,1,18,7,1,,,,,3,,,,,,,,
2007.87,2007,11,2007 (11),41,3,3,5,5,,,,,2,1,,,,,,2,,,,,,,,
2007.87,2007,11,2007 (11),42,1,1,1,1,,,,,,,,,,,,,1,,,,,,,
2007.87,2007,11,2007 (11),44,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2007.87,2007,11,2007 (11),45,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2007.87,2007,11,2007 (11),50,1,1,2,2,,,,,2,,,,,,,,,,,,,,,
2007.87,2007,11,2007 (11),51,1,1,1,1,,,,,1,,,,,,,,,,,,,,,
2007.87,2007,11,2007 (11),52,3,2,7,6,1,,,,3,3,,,,,,,,,,,,,,
2007.87,2007,11,2007 (11),53,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2007.87,2007,11,2007 (11),60,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2008.37,2008,5,2008 (5),1,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2008.37,2008,5,2008 (5),2,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2008.37,2008,5,2008 (5),3,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2008.37,2008,5,2008 (5),4,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2008.37,2008,5,2008 (5),5,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2008.37,2008,5,2008 (5),6,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2008.37,2008,5,2008 (5),7,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2008.37,2008,5,2008 (5),9,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2008.37,2008,5,2008 (5),12,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2008.37,2008,5,2008 (5),24,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2008.37,2008,5,2008 (5),32,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2008.37,2008,5,2008 (5),36,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2008.37,2008,5,2008 (5),37,2,2,3,3,,,,,2,,,,,,,1,,,,,,,,
2008.37,2008,5,2008 (5),38,2,2,2,2,,,,,1,,,,,,,1,,,,,,,,
2008.37,2008,5,2008 (5),39,5,5,23,23,,,,,8,3,,,,8,,1,,,3,,,,,
2008.37,2008,5,2008 (5),40,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2008.37,2008,5,2008 (5),41,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2008.37,2008,5,2008 (5),45,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2008.37,2008,5,2008 (5),50,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2008.37,2008,5,2008 (5),53,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2008.37,2008,5,2008 (5),60,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2008.37,2008,5,2008 (5),A,7,6,29,25,4,,,,5,,1,,,6,,3,,4,6,,,,,
2008.37,2008,5,2008 (5),F,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2008.37,2008,5,2008 (5),G,2,2,3,3,,,,,2,,,,,,,1,,,,,,,,
